Na,Cl,Water,Fe,Cu
12.53582542,6.22770004,7.08461713,39.36065274,50.7185631
12.75820014,6.47791091,7.25774921,40.64982507,49.31791692
12.76224535,6.54308433,7.30579164,41.08294821,47.55808182
12.51013031,6.38584752,7.20033787,40.48158592,45.43126869
12.03615465,6.03462197,6.95975532,38.94012715,43.08691311
11.43723469,5.5736047,6.64215095,36.73455384,40.69603324
10.81067244,5.08917168,6.30817062,34.28577899,38.56198618
10.25446883,4.66533302,6.01735136,31.9841458,36.93784825
9.81921073,4.34512489,5.80051738,30.01713473,35.9047674
9.51432637,4.13684941,5.66262426,28.51022085,35.44616033
9.31061346,4.0200693,5.58603632,27.40467202,35.38367476
9.1769825,3.9736675,5.54956585,26.63616,35.47784512
9.08135045,3.97648424,5.53116974,26.08847162,35.48139488
9.00281762,4.01281988,5.51579762,25.68926686,35.20510264
8.92982976,4.07300253,5.49741441,25.39366944,34.57904638
8.86210048,4.14847124,5.47953945,25.18378536,33.6320683
8.80276661,4.23149526,5.4714601,25.08024245,32.51266015
8.75512659,4.31393487,5.48263643,25.11454084,31.36149873
8.71785142,4.39096469,5.51745102,25.32248514,30.33962388
8.68740451,4.45554385,5.57069291,25.73255254,29.50541047
8.65772464,4.50064547,5.62784211,26.32925186,28.88932544
8.62412395,4.51731001,5.66925662,27.06875764,28.44398688
8.5843698,4.49579116,5.67868738,27.83224378,28.12066566
8.54159537,4.42759031,5.64672154,28.45642841,27.86991569
8.50189426,4.31099779,5.57567741,28.79020205,27.65649306
8.47244586,4.15545796,5.47837226,28.70837018,27.48328583
8.45779803,3.97389564,5.36871767,28.17734203,27.3720061
8.45990617,3.78815131,5.26235661,27.27794529,27.36626038
8.47600989,3.61688662,5.16902084,26.14196286,27.50701673
8.49910431,3.47374118,5.093384,24.96913258,27.80968248
8.52012127,3.36026878,5.03375662,23.88899492,28.25645465
8.52795426,3.27628331,4.98909963,23.00877378,28.76821822
8.51234183,3.2164416,4.95735362,22.36345326,29.22010004
8.466329,3.17492056,4.93685154,21.92141511,29.48634268
8.38587856,3.1455196,4.92510784,21.6514944,29.45300129
8.27386975,3.12467159,4.91951224,21.50502472,29.07077085
8.13858919,3.10946666,4.91639134,21.44941723,28.37619261
7.99397234,3.09788006,4.91196894,21.45467864,27.45089867
7.85058745,3.08797295,4.90307301,21.49565108,26.43165487
7.72139664,3.07837266,4.88807479,21.54443229,25.4536974
7.61306022,3.06776888,4.86702176,21.57207988,24.58593502
7.52725431,3.05537175,4.84173789,21.54803929,23.88716208
7.45846581,3.0406418,4.81420097,21.4462801,23.34254238
7.40165456,3.02417326,4.7874476,21.25482808,22.93600452
7.35110965,3.00698404,4.76376356,20.97155794,22.62051709
7.30314059,2.99005256,4.74417404,20.62050226,22.36502283
7.25690995,2.973825,4.72810774,20.2251888,22.13311762
7.21186795,2.95723586,4.71280583,19.82425293,21.90534892
7.16966167,2.93898784,4.69491612,19.45244929,21.67096818
7.13160058,2.91771211,4.67090094,19.12314601,21.41996258
7.0993911,2.89336865,4.63871475,18.85274596,21.15856393
7.07417397,2.86676223,4.59709131,18.63662035,20.88663395
7.05881808,2.84090158,4.54762167,18.47538145,20.61660698
7.05645089,2.81915435,4.49310182,18.36072229,20.34961312
7.07012219,2.80438889,4.43770159,18.29036607,20.09387914
7.10282722,2.79742317,4.38401074,18.26108378,19.85597527
